h,club_name,club_website,event_name,event_date,event_time,event_location,event_address,event_registration,event_description,event_distances
,CBRC,https://www.cityofbridgesrunclub.com/,Monday Track Attack,4/7/25,18:30,"1 Overlook Dr, Pittsburgh, PA 15217, USA","https://www.google.com/maps/place/1+Overlook+Dr,+Pittsburgh,+PA+15217/@40.4329153,-79.9483061,17z/data=!3m1!4b1!4m6!3m5!1s0x8834f18c4738fac5:0xf6010c3eb7cac401!8m2!3d40.4329112!4d-79.9457312!16s%2Fg%2F11j8sfr9ql?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://www.cityofbridgesrunclub.com/event-details/track-attack-20250407,Weekly workout assigned by Coach Kim,3+ miles
,CBRC,https://www.cityofbridgesrunclub.com/,Tuesday Trail Run,4/8/25,18:30,"4905 Grand Ave, Pittsburgh, PA 15225, USA","https://www.google.com/maps/place/Carmody's+Grille/@40.5100363,-80.1278912,17z/data=!3m2!4b1!5s0x88345fbc1a957d31:0x19294428e01a05b8!4m6!3m5!1s0x88345fbc1a98149d:0xbf584994753aaf6c!8m2!3d40.5100323!4d-80.1253163!16s%2Fg%2F11bwny3gbp?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Wednesday City Run,4/9/25,18:30,"5113 Penn Ave, Pittsburgh, PA 15224, USA","https://www.google.com/maps/place/Two+Frays+Brewery/@40.4650903,-79.9447953,17z/data=!3m1!4b1!4m6!3m5!1s0x8834f30cd2f2ca0d:0x2bc41e66befee245!8m2!3d40.4650862!4d-79.9422204!16s%2Fg%2F11j7hhll61?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Thursday Group run,4/10/15,18:30,"2975 W Liberty Ave, Pittsburgh, PA 15216, USA",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Saturday Long Run,4/12/25,8:00,"1 Third Ave, Pittsburgh, PA 15222, USA","https://www.google.com/maps/place/PPG+Plaza/@40.4397888,-80.0057496,17z/data=!3m1!4b1!4m6!3m5!1s0x8834f11266f8f91b:0xfc882b0531e7bc86!8m2!3d40.4397847!4d-80.0031747!16s%2Fg%2F11h0gykpzy?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",,Long run,"3 miles, 11 miles, 20 miles"
,CBRC,https://www.cityofbridgesrunclub.com/,Monday Track Attack,4/14/25,18:30,"1 Overlook Dr, Pittsburgh, PA 15217, USA",,,Weekly workout assigned by Coach Kim,3+ miles
,CBRC,https://www.cityofbridgesrunclub.com/,Tuesday Trail Run,4/15/25,18:30,"1743 E Railroad St, Heidelberg, PA 15106, USA",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Wednesday City Run,4/16/25,18:30,"4501 Butler St, Pittsburgh, PA 15201, USA",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Thursday Group run,4/17/25,18:30,"311 Beverly Road, Pittsburgh, PA 15216",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Saturday Long Run,4/19/25,8:00,"South Side Riverfront Park , Pittsburgh, PA 15203, USA",,,Long run,"4 miles, 11 miles, 20 miles"
,CBRC,https://www.cityofbridgesrunclub.com/,Monday Track Attack,21-Apr,18:30,"1 Overlook Dr, Pittsburgh, PA 15217, USA",,,Weekly workout assigned by Coach Kim,3+ miles
,CBRC,https://www.cityofbridgesrunclub.com/,Tuesday Trail Run,22-Apr,18:30,"258 Main St, Imperial, PA 15126",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Wednesday City Run,23-Apr,18:30,"22 S Aiken Ave, Pittsburgh, PA 15232, USA",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Thursday Group run,24-Apr,18:30,"190 Castle Shannon Blvd, Pittsburgh, PA 15228, USA",,,Easy run with 3-5 mile options,3 miles 5 miles
,CBRC,https://www.cityofbridgesrunclub.com/,Saturday Long Run,4/26/25,8:00,"510 E Ohio St, Pittsburgh, PA 15212, USA",,,Long run,"5 miles, 11 miles, 20 miles"
,Yinz Run Club,https://www.yinzrunclub.com/,City Run,4/9/25,18:30,"46 South 4th St, Pittsburgh, PA 15219","http://maps.google.com/?q=46%20South%204th%20Street%20Pittsburgh,%20PA,%2015219%20United%20States",https://www.yinzrunclub.com/events/runcrew177,Easy run with 1-3 mile options,"1 mile, 3 miles"
,Yinz Run Club,https://www.yinzrunclub.com/,Trail run,4/12/25,10:00,"1253 Commercial St, Pittsburgh, PA 15217","http://maps.google.com/?q=%20Pittsburgh,%20PA,%2015217%20United%20States",https://www.yinzrunclub.com/events/trails064,Trail run,4 miles
,Yinz Run Club,https://www.yinzrunclub.com/,City Run,4/16/25,18:30,"2601 Smallman Street, Pittsburgh, PA, 15222 United States","http://maps.google.com/?q=2601%20Smallman%20Street%20Pittsburgh,%20PA,%2015222%20United%20States",https://www.yinzrunclub.com/events/runcrew178,Easy run with 1-3 mile options,"1 mile, 3 miles"
,Yinz Run Club,https://www.yinzrunclub.com/,City Run,4/23/25,18:30,"5007 Lytle Street, Pittsburgh, PA, 15207 United States","http://maps.google.com/?q=5007%20Lytle%20Street%20Pittsburgh,%20PA,%2015207%20United%20States",https://www.yinzrunclub.com/events/runcrew179,Easy run with 1-3 mile options,"1 mile, 3 miles"
,Yinz Run Club,https://www.yinzrunclub.com/,Trail run,4/26/25,10:00,"1253 Commercial St, Pittsburgh, PA 15217","http://maps.google.com/?q=%20Pittsburgh,%20PA,%2015217%20United%20States",,Trail run,4 miles